sb, pt, cfg, rt, er
2,1,2,1723,0
2,1,3,812,0
2,1,1,503,0
2,1,2,678,0
2,1,3,690,0
2,1,1,525,0
2,1,4,0,0
2,1,1,1199,0
2,1,2,740,0
2,1,3,588,0
2,1,4,0,0
2,1,2,655,0
2,1,1,699,0
2,1,2,777,0
2,1,4,0,0
2,1,3,1558,0
2,1,1,630,0
2,1,3,592,0
2,1,2,535,1
2,1,2,745,0
2,1,1,867,1
2,1,1,797,0
2,1,2,2351,0
2,1,3,649,0
2,1,4,0,0
2,1,4,0,0
2,1,3,1173,0
2,1,1,593,0
2,1,4,0,0
2,1,2,752,0
2,1,3,494,0
2,1,2,645,0
2,1,3,555,0
2,1,2,652,0
2,1,1,628,0
2,1,2,471,0
2,1,4,0,0
2,1,2,1546,0
2,1,4,0,0
2,1,4,0,0
2,1,1,934,0
2,1,4,0,0
2,1,3,544,0
2,1,3,611,0
2,1,2,717,0
2,1,3,696,0
2,1,4,0,0
2,1,1,652,0
2,1,3,891,0
2,1,1,643,0
2,1,3,629,0
2,1,2,554,0
2,1,3,501,0
2,1,2,523,0
2,1,1,518,1
2,1,3,628,0
2,1,2,592,0
2,1,4,0,0
2,1,3,691,0
2,1,3,449,0
2,1,1,444,0
2,1,1,367,0
2,1,1,519,1
2,1,1,597,1
2,1,3,487,1
2,1,4,0,0
2,1,4,0,0
2,1,3,607,0
2,1,4,0,0
2,1,3,846,0
2,1,1,488,1
2,1,3,668,0
2,1,1,1381,0
2,1,4,0,0
2,1,4,0,0
2,1,3,1465,0
2,1,3,595,0
2,1,4,0,0
2,1,4,0,0
2,1,1,761,0
2,1,2,604,0
2,1,3,420,0
2,1,2,627,0
2,1,3,456,0
2,1,1,566,0
2,1,1,455,0
2,1,1,427,0
2,1,3,454,0
2,1,2,623,0
2,1,2,627,0
2,1,4,0,0
2,1,1,626,0
2,1,1,532,1
2,1,3,560,0
2,1,1,453,0
2,1,4,0,0
2,1,2,1027,0
2,1,1,446,0
2,1,1,588,1
2,1,2,790,0
2,1,3,459,1
2,1,2,536,0
2,1,1,569,0
2,1,2,978,0
2,1,2,546,0
2,1,2,441,0
2,1,1,619,0
2,1,4,0,0
2,1,3,628,0
2,1,4,0,0
2,1,2,592,0
2,1,3,771,0
2,1,1,611,0
2,1,3,542,0
2,1,2,621,0
2,1,2,653,0
2,1,4,0,0
2,1,2,586,0
2,1,3,548,1
2,1,2,544,0
2,1,4,0,0
2,1,3,697,0
2,1,2,583,0
2,1,3,554,0
2,1,4,0,0
2,1,2,564,0
2,1,1,523,0
2,1,1,507,0
2,1,3,550,1
2,1,2,614,1
2,1,3,1202,0
2,1,3,612,0
2,1,4,0,0
2,1,2,1038,0
2,1,1,654,0
2,1,1,1083,0
2,1,1,1253,0
2,1,2,659,0
2,1,3,692,0
2,1,2,682,0
2,1,3,611,0
2,1,1,835,0
2,1,1,555,0
2,1,4,0,0
2,1,2,1194,0
2,1,2,558,0
2,1,1,434,0
2,1,3,587,0
2,1,1,458,0
2,1,4,0,0
2,1,4,0,0
2,1,1,655,0
2,1,2,525,0
2,1,2,483,0
2,1,1,658,0
2,1,3,506,0
2,1,2,521,0
2,1,2,566,0
2,1,4,0,0
2,1,1,485,1
2,1,1,552,0
2,1,2,543,0
2,1,4,0,0
2,1,2,546,0
2,1,1,652,0
2,1,3,575,0
2,1,3,603,0
2,1,1,446,0
2,1,2,1200,0
2,1,2,644,0
2,1,4,0,0
2,1,2,589,0
2,1,1,432,0
2,1,3,574,0
2,1,1,459,0
2,1,2,503,0
2,1,1,598,0
2,1,4,0,0
2,1,2,663,0
2,1,3,453,0
2,1,4,0,0
2,1,3,1132,0
2,1,3,422,0
2,1,1,661,0
2,1,3,641,0
2,1,1,468,0
2,1,3,414,0
2,1,4,0,0
2,1,2,507,1
2,1,2,747,0
2,1,1,641,0
2,1,4,0,0
2,1,2,644,0
2,1,3,514,0
2,1,1,531,0
2,1,3,410,0
2,1,2,464,0
2,1,4,0,0
2,1,4,0,0
2,1,1,965,0
2,1,1,503,0
2,1,3,644,0
2,1,4,0,0
2,1,1,801,0
2,1,2,793,0
2,1,2,547,0
2,1,1,574,0
2,1,1,542,1
2,1,4,0,0
2,1,1,526,0
2,1,1,735,0
2,1,3,483,0
2,1,2,556,0
2,1,1,487,0
2,1,3,415,1
2,1,4,0,0
2,1,4,0,0
2,1,2,528,0
2,1,4,0,0
2,1,4,0,0
2,1,1,547,0
2,1,4,0,0
2,1,2,680,0
2,1,4,0,0
2,1,4,0,0
2,1,4,0,0
2,1,2,532,0
