sb, pt, cfg, rt, er
9,1,2,657,0
9,1,4,0,0
9,1,2,530,0
9,1,3,565,0
9,1,2,527,0
9,1,4,0,0
9,1,2,572,0
9,1,4,0,0
9,1,2,567,0
9,1,3,567,0
9,1,4,0,0
9,1,4,0,0
9,1,3,588,0
9,1,1,522,0
9,1,4,0,0
9,1,4,0,0
9,1,1,577,0
9,1,3,576,0
9,1,3,508,0
9,1,3,635,0
9,1,3,613,0
9,1,1,614,0
9,1,3,590,0
9,1,4,0,0
9,1,1,613,0
9,1,2,548,0
9,1,3,608,0
9,1,1,545,0
9,1,4,0,0
9,1,3,585,0
9,1,2,558,0
9,1,3,590,0
9,1,3,525,0
9,1,4,0,0
9,1,2,732,0
9,1,1,754,0
9,1,3,554,0
9,1,1,515,0
9,1,3,715,0
9,1,4,0,0
9,1,2,636,0
9,1,4,0,0
9,1,2,639,0
9,1,1,599,0
9,1,1,604,0
9,1,1,570,0
9,1,4,0,0
9,1,2,795,0
9,1,2,605,0
9,1,2,622,0
9,1,4,0,0
9,1,2,643,0
9,1,4,0,0
9,1,4,0,0
9,1,2,665,0
9,1,3,628,0
9,1,3,560,0
9,1,3,499,0
9,1,2,595,0
9,1,4,0,0
9,1,4,0,0
9,1,1,602,0
9,1,4,0,0
9,1,1,651,0
9,1,4,0,0
9,1,4,0,0
9,1,2,594,0
9,1,4,0,0
9,1,1,584,0
9,1,3,539,0
9,1,4,0,0
9,1,3,603,0
9,1,3,610,0
9,1,3,541,0
9,1,1,501,0
9,1,1,562,0
9,1,3,588,0
9,1,3,633,0
9,1,3,574,0
9,1,2,562,0
9,1,2,683,0
9,1,2,571,0
9,1,2,516,0
9,1,1,624,0
9,1,2,471,0
9,1,1,573,0
9,1,4,0,0
9,1,3,618,0
9,1,3,609,0
9,1,4,0,0
9,1,1,573,0
9,1,2,596,0
9,1,4,0,0
9,1,1,673,0
9,1,3,839,0
9,1,1,607,0
9,1,3,608,0
9,1,1,718,0
9,1,3,713,0
9,1,1,555,0
9,1,1,556,0
9,1,4,0,0
9,1,4,0,0
9,1,1,646,0
9,1,3,575,0
9,1,3,613,0
9,1,3,548,0
9,1,4,0,0
9,1,2,571,0
9,1,4,0,0
9,1,3,629,0
9,1,2,658,0
9,1,1,608,0
9,1,3,531,0
9,1,1,593,0
9,1,2,522,0
9,1,4,0,0
9,1,4,0,0
9,1,1,663,0
9,1,4,0,0
9,1,3,673,0
9,1,1,614,0
9,1,2,638,0
9,1,3,873,0
9,1,1,595,0
9,1,1,630,0
9,1,1,576,0
9,1,2,617,0
9,1,4,0,0
9,1,2,683,0
9,1,1,598,0
9,1,4,0,0
9,1,2,684,0
9,1,4,0,0
9,1,4,0,0
9,1,2,643,0
9,1,3,708,0
9,1,1,686,0
9,1,1,492,0
9,1,1,511,0
9,1,2,578,0
9,1,4,0,0
9,1,4,0,0
9,1,4,0,0
9,1,2,669,0
9,1,2,515,0
9,1,4,0,0
9,1,1,714,0
9,1,4,0,0
9,1,4,0,0
9,1,2,918,0
9,1,4,0,0
9,1,1,643,0
9,1,2,491,0
9,1,1,622,0
9,1,3,482,0
9,1,3,615,0
9,1,3,808,0
9,1,2,526,0
9,1,4,0,0
9,1,1,577,1
9,1,2,602,0
9,1,3,563,0
9,1,1,597,0
9,1,3,662,0
9,1,1,586,0
9,1,2,541,0
9,1,4,0,0
9,1,3,629,0
9,1,3,586,0
9,1,4,0,0
9,1,2,619,0
9,1,1,607,0
9,1,1,630,0
9,1,2,708,0
9,1,3,529,0
9,1,3,729,0
9,1,4,0,0
9,1,4,0,0
9,1,2,626,0
9,1,3,596,0
9,1,3,543,0
9,1,1,609,0
9,1,3,496,0
9,1,1,481,0
9,1,2,557,0
9,1,1,642,0
9,1,4,0,0
9,1,3,637,0
9,1,4,0,0
9,1,1,655,0
9,1,1,486,0
9,1,2,660,0
9,1,3,581,0
9,1,3,645,0
9,1,1,544,0
9,1,3,550,0
9,1,3,593,0
9,1,2,589,0
9,1,3,564,0
9,1,1,559,0
9,1,3,537,0
9,1,3,562,0
9,1,1,620,0
9,1,1,563,0
9,1,4,0,0
9,1,3,583,0
9,1,4,0,0
9,1,2,630,0
9,1,2,537,0
9,1,4,0,0
9,1,4,0,0
9,1,2,680,0
9,1,3,548,0
9,1,2,487,0
9,1,4,0,0
9,1,3,551,0
9,1,3,494,0
9,1,4,0,0
9,1,3,532,0
9,1,2,517,0
9,1,2,552,0
9,1,2,548,0
9,1,3,487,0
9,1,2,593,0
9,1,1,638,1
9,1,3,672,0
9,1,1,668,0
9,1,4,0,0
9,1,1,561,0
9,1,2,565,0
9,1,1,734,0
9,1,4,0,0
9,1,2,568,0
9,1,4,0,0
9,1,2,617,0
9,1,4,0,0
9,1,4,0,0
9,1,4,0,0
9,1,1,730,0
9,1,4,0,0
9,1,4,0,0
9,1,2,491,0
9,1,1,561,0
9,1,4,0,0
9,1,1,558,0
9,1,3,584,0
9,1,1,599,0
9,1,4,0,0
9,1,1,652,0
9,1,2,734,0
9,1,2,567,0
9,1,3,593,0
9,1,1,598,0
9,1,2,608,0
9,1,1,607,0
9,1,4,0,0
9,1,4,0,0
9,1,3,769,0
9,1,1,818,0
9,1,3,528,0
9,1,4,0,0
9,1,3,579,0
9,1,2,609,0
9,1,3,632,0
9,1,4,0,0
9,1,3,591,0
9,1,2,573,0
9,1,1,626,0
9,1,4,0,0
9,1,3,860,0
9,1,1,685,0
9,1,4,0,0
9,1,4,0,0
9,1,1,607,0
9,1,4,0,0
9,1,4,0,0
9,1,1,590,0
9,1,3,587,0
9,1,3,617,0
9,1,4,0,0
9,1,4,0,0
9,1,2,674,0
9,1,1,5612,0
9,1,2,668,0
9,1,2,570,0
9,1,4,0,0
9,1,2,795,0
9,1,3,1057,0
9,1,2,527,0
9,1,1,558,0
9,1,2,640,0
9,1,2,525,0
9,1,2,491,0
9,1,1,546,0
9,1,1,440,0
9,1,1,645,0
9,1,2,464,0
9,1,2,508,0
9,1,4,0,0
9,1,1,737,0
9,1,2,599,0
9,1,1,658,0
9,1,3,608,0
9,1,2,705,0
9,1,4,0,0
9,1,1,651,0
9,1,1,666,0
9,1,3,580,0
9,1,2,667,0
9,1,1,573,0
9,1,4,0,0
9,1,3,652,0
9,1,2,647,0
9,1,4,0,0
9,1,3,685,0
9,1,1,620,0
9,1,2,792,0
9,1,2,556,0
9,1,3,743,0
9,1,3,585,0
9,1,1,536,0
9,1,4,0,0
9,1,4,0,0
9,1,4,0,0
9,1,3,743,0
9,1,1,595,0
9,1,4,0,0
9,1,1,738,0
9,1,1,666,0
9,1,1,605,0
9,1,1,605,0
9,1,4,0,0
9,1,3,764,0
9,1,3,462,0
9,1,1,579,0
9,1,4,0,0
9,1,4,0,0
9,1,2,1160,0
9,1,3,650,0
9,1,3,616,0
9,1,1,535,0
9,1,1,685,0
9,1,2,632,0
9,1,4,0,0
9,1,3,619,0
9,1,1,603,0
9,1,1,612,0
9,1,1,676,0
9,1,4,0,0
9,1,1,1133,0
9,1,4,0,0
9,1,1,703,0
9,1,2,550,0
9,1,2,698,0
9,1,3,599,0
9,1,2,567,0
9,1,2,558,0
9,1,3,832,0
9,1,3,575,0
9,1,3,559,0
9,1,4,0,0
9,1,2,584,0
9,1,4,0,0
9,1,2,527,0
9,1,3,817,0
9,1,4,0,0
9,1,1,572,0
9,1,1,554,0
9,1,1,707,1
9,1,1,668,0
9,1,1,707,0
9,1,1,615,0
9,1,2,708,0
9,1,2,602,0
9,1,3,621,0
9,1,1,569,0
9,1,3,680,0
9,1,1,818,0
9,1,3,627,0
9,1,3,577,0
9,1,3,784,0
9,1,1,732,0
9,1,4,0,0
9,1,1,621,0
9,1,3,833,0
9,1,1,678,0
9,1,4,0,0
9,1,3,652,0
9,1,4,0,0
