sb, pt, cfg, rt, er
15,1,2,1233,0
15,1,3,994,0
15,1,4,0,0
15,1,3,1469,0
15,1,2,646,0
15,1,1,671,1
15,1,3,704,0
15,1,3,599,0
15,1,2,664,0
15,1,1,613,0
15,1,2,590,0
15,1,2,602,0
15,1,2,581,0
15,1,1,831,0
15,1,2,637,0
15,1,2,503,0
15,1,4,0,0
15,1,3,706,0
15,1,2,1016,1
15,1,1,794,0
15,1,3,925,0
15,1,1,756,0
15,1,3,805,0
15,1,1,1135,0
15,1,4,0,0
15,1,3,811,0
15,1,3,1033,0
15,1,3,763,0
15,1,4,0,0
15,1,1,1288,0
15,1,3,712,0
15,1,4,0,0
15,1,2,899,0
15,1,1,1440,1
15,1,4,0,0
15,1,1,566,0
15,1,1,514,0
15,1,1,583,0
15,1,1,619,0
15,1,3,500,0
15,1,4,0,0
15,1,3,427,0
15,1,1,517,1
15,1,4,0,0
15,1,2,793,0
15,1,2,641,0
15,1,1,706,0
15,1,1,610,0
15,1,3,629,0
15,1,1,679,0
15,1,3,573,0
15,1,1,649,0
15,1,2,899,0
15,1,2,586,0
15,1,4,0,0
15,1,4,0,0
15,1,2,820,0
15,1,2,1127,0
15,1,3,1259,1
15,1,3,644,0
15,1,4,0,0
15,1,3,1503,0
15,1,2,658,0
15,1,4,0,0
15,1,2,554,0
15,1,1,819,0
15,1,3,764,0
15,1,1,734,0
15,1,1,924,0
15,1,2,699,0
15,1,4,0,0
15,1,1,984,0
15,1,1,1353,0
15,1,1,931,0
15,1,1,789,0
15,1,1,961,0
15,1,3,603,0
15,1,2,1173,0
15,1,4,0,0
15,1,3,650,0
15,1,4,0,0
15,1,3,923,0
15,1,3,594,0
15,1,2,635,0
15,1,3,699,0
15,1,1,696,0
15,1,3,716,0
15,1,3,930,0
15,1,1,560,0
15,1,2,717,1
15,1,2,1139,0
15,1,3,661,0
15,1,4,0,0
15,1,1,1668,0
15,1,3,637,0
15,1,3,835,0
15,1,1,789,0
15,1,4,0,0
15,1,4,0,0
15,1,3,1235,0
15,1,2,627,0
15,1,1,685,0
15,1,3,651,0
15,1,3,728,0
15,1,3,746,0
15,1,2,695,0
15,1,4,0,0
15,1,2,979,0
15,1,2,723,0
15,1,1,730,0
15,1,4,0,0
15,1,4,0,0
15,1,4,0,0
15,1,1,1654,0
15,1,2,805,0
15,1,3,790,0
15,1,4,0,0
15,1,2,1040,0
15,1,3,870,0
15,1,4,0,0
15,1,4,0,0
15,1,2,1663,0
15,1,3,824,0
15,1,1,699,0
15,1,2,640,0
15,1,3,638,0
15,1,2,620,0
15,1,3,627,0
15,1,1,593,0
15,1,2,640,0
15,1,4,0,0
15,1,1,1262,0
15,1,4,0,0
15,1,2,493,0
15,1,2,616,0
15,1,2,559,0
15,1,3,636,0
15,1,2,490,0
15,1,3,550,0
15,1,1,720,0
15,1,4,0,0
15,1,2,522,0
15,1,3,577,0
15,1,1,603,0
15,1,4,0,0
15,1,1,833,0
15,1,1,521,0
15,1,1,502,0
15,1,2,461,1
15,1,2,657,0
15,1,4,0,0
15,1,1,695,0
15,1,4,0,0
15,1,4,0,0
15,1,3,674,0
15,1,3,507,0
15,1,3,642,0
15,1,2,592,0
15,1,1,580,0
15,1,4,0,0
15,1,3,520,0
15,1,1,620,0
15,1,2,655,0
15,1,4,0,0
15,1,1,778,0
15,1,4,0,0
15,1,1,412,1
15,1,2,534,0
15,1,2,898,0
15,1,4,0,0
15,1,1,664,0
15,1,1,935,0
15,1,2,515,0
15,1,4,0,0
15,1,4,0,0
15,1,4,0,0
15,1,4,0,0
15,1,3,899,0
15,1,4,0,0
15,1,4,0,0
15,1,1,1073,0
15,1,2,753,0
15,1,1,955,0
15,1,2,884,0
15,1,3,1036,0
15,1,2,586,0
15,1,3,686,0
15,1,1,1182,1
15,1,3,654,0
15,1,4,0,0
15,1,4,0,0
15,1,1,683,0
15,1,2,635,0
15,1,1,627,0
15,1,2,629,0
15,1,1,573,0
15,1,3,832,0
15,1,3,910,0
15,1,4,0,0
15,1,3,871,0
15,1,4,0,0
15,1,1,1341,0
15,1,2,591,0
15,1,1,967,0
15,1,2,524,0
15,1,2,505,0
15,1,2,488,0
15,1,1,1086,0
15,1,3,598,0
15,1,1,760,0
15,1,4,0,0
15,1,4,0,0
15,1,2,918,1
15,1,4,0,0
15,1,1,1828,1
15,1,1,1324,0
15,1,1,1523,0
15,1,4,0,0
15,1,4,0,0
15,1,1,778,0
15,1,4,0,0
15,1,4,0,0
15,1,1,780,0
15,1,1,622,0
15,1,3,665,0
15,1,4,0,0
15,1,4,0,0
15,1,2,1073,0
15,1,4,0,0
15,1,2,872,0
15,1,3,669,0
15,1,3,590,0
15,1,2,618,0
15,1,3,748,0
15,1,2,674,0
15,1,2,1024,0
15,1,2,545,0
15,1,2,602,0
15,1,2,618,0
15,1,4,0,0
15,1,2,1172,0
15,1,3,593,0
15,1,4,0,0
15,1,3,1247,0
15,1,1,776,0
15,1,2,1338,0
15,1,4,0,0
15,1,1,660,0
15,1,1,843,0
15,1,1,776,0
15,1,3,1610,0
15,1,1,621,0
15,1,2,685,0
15,1,4,0,0
15,1,2,646,0
15,1,1,639,0
15,1,3,559,0
15,1,1,664,0
15,1,3,629,0
15,1,2,877,0
15,1,2,573,0
15,1,4,0,0
15,1,1,1294,0
15,1,4,0,0
15,1,4,0,0
15,1,2,779,0
15,1,3,695,0
15,1,4,0,0
15,1,4,0,0
15,1,1,1373,0
15,1,2,559,0
15,1,2,1076,0
15,1,4,0,0
15,1,3,674,0
15,1,3,683,0
15,1,1,547,0
15,1,1,592,0
15,1,1,666,0
15,1,1,815,0
15,1,2,639,0
15,1,1,810,0
15,1,4,0,0
15,1,4,0,0
15,1,3,646,0
15,1,3,920,0
15,1,1,764,0
15,1,1,673,0
15,1,4,0,0
15,1,4,0,0
15,1,4,0,0
15,1,1,866,1
15,1,2,771,0
15,1,4,0,0
15,1,2,891,0
15,1,1,751,0
15,1,3,605,0
15,1,2,1372,0
15,1,2,1009,0
15,1,2,772,0
15,1,2,981,0
15,1,4,0,0
15,1,2,1003,0
15,1,4,0,0
15,1,2,662,0
15,1,1,1701,1
15,1,3,740,0
15,1,1,570,0
15,1,4,0,0
15,1,3,1084,0
15,1,1,546,0
15,1,3,958,0
15,1,3,577,0
15,1,3,467,0
15,1,3,504,1
15,1,2,605,0
15,1,1,2246,0
15,1,3,703,0
15,1,1,499,0
15,1,1,464,1
15,1,3,1014,0
15,1,3,581,0
15,1,3,569,0
15,1,1,651,0
15,1,2,723,0
15,1,1,585,0
15,1,2,573,0
15,1,1,656,0
15,1,1,1962,0
15,1,4,0,0
15,1,1,728,0
15,1,3,578,0
15,1,3,738,0
15,1,4,0,0
15,1,1,696,0
15,1,4,0,0
15,1,3,574,0
15,1,2,688,0
15,1,4,0,0
15,1,4,0,0
15,1,1,624,0
15,1,2,699,0
15,1,3,795,0
15,1,3,902,0
15,1,3,627,0
15,1,3,741,0
15,1,2,1689,1
15,1,1,663,0
15,1,1,835,0
15,1,4,0,0
15,1,4,0,0
15,1,1,895,0
15,1,1,1303,0
15,1,2,644,0
15,1,3,611,0
15,1,1,982,0
15,1,2,936,0
15,1,2,574,0
15,1,4,0,0
15,1,3,1009,0
15,1,1,732,0
15,1,1,763,0
15,1,2,807,0
15,1,4,0,0
15,1,2,641,0
15,1,2,591,0
15,1,3,755,0
15,1,4,0,0
15,1,2,806,0
15,1,3,889,0
15,1,2,593,0
15,1,4,0,0
15,1,4,0,0
15,1,3,631,0
15,1,3,657,0
15,1,1,574,0
15,1,4,0,0
15,1,4,0,0
15,1,2,711,0
15,1,1,706,0
15,1,2,625,0
15,1,1,652,0
15,1,4,0,0
15,1,4,0,0
15,1,2,1091,0
15,1,1,719,0
15,1,1,558,0
15,1,2,2065,0
15,1,4,0,0
15,1,2,564,0
15,1,4,0,0
15,1,4,0,0
15,1,1,607,0
15,1,4,0,0
15,1,2,592,0
15,1,2,580,1
15,1,1,541,0
15,1,3,523,0
15,1,4,0,0
15,1,3,678,0
15,1,4,0,0
15,1,3,662,0
15,1,1,615,0
15,1,4,0,0
15,1,3,674,1
15,1,4,0,0
15,1,4,0,0
15,1,1,928,0
15,1,1,582,0
15,1,3,530,0
15,1,3,632,0
15,1,3,586,0
15,1,4,0,0
15,1,3,586,0
15,1,2,538,0
15,1,3,590,0
15,1,2,534,0
15,1,4,0,0
15,1,2,750,0
15,1,2,907,0
15,1,1,1241,0
15,1,2,827,0
15,1,2,769,0
15,1,1,683,0
15,1,2,627,0
15,1,2,729,0
15,1,2,589,0
15,1,4,0,0
15,1,3,643,0
15,1,2,545,0
15,1,3,606,0
15,1,4,0,0
15,1,3,656,0
15,1,2,963,0
15,1,4,0,0
15,1,4,0,0
15,1,3,862,0
15,1,1,734,0
15,1,4,0,0
15,1,4,0,0
15,1,1,821,0
15,1,3,795,0
15,1,2,755,1
15,1,1,563,0
15,1,3,532,0
15,1,3,576,0
15,1,3,872,0
15,1,4,0,0
15,1,4,0,0
15,1,1,707,0
15,1,3,662,0
15,1,4,0,0
15,1,2,563,0
15,1,3,664,0
15,1,4,0,0
15,1,2,548,0
15,1,1,576,0
15,1,1,564,0
15,1,3,596,0
15,1,2,572,0
15,1,3,502,0
15,1,3,572,0
15,1,3,544,0
15,1,4,0,0
15,1,4,0,0
15,1,3,650,0
15,1,3,535,0
15,1,3,529,1
15,1,2,519,1
15,1,1,883,0
15,1,4,0,0
15,1,3,849,0
15,1,4,0,0
15,1,3,672,0
15,1,3,583,0
15,1,4,0,0
15,1,2,1321,0
15,1,2,637,0
15,1,4,0,0
15,1,2,598,0
15,1,2,697,0
15,1,4,0,0
15,1,4,0,0
15,1,4,0,0
15,1,1,1964,0
15,1,3,573,0
15,1,2,522,0
15,1,4,0,0
15,1,3,673,0
15,1,4,0,0
15,1,4,0,0
15,1,1,945,0
15,1,1,583,0
15,1,3,415,0
15,1,3,415,0
15,1,3,394,1
15,1,1,589,0
15,1,1,565,0
15,1,4,0,0
15,1,1,705,0
15,1,3,589,0
15,1,1,585,0
15,1,3,723,0
15,1,2,741,0
15,1,1,755,0
15,1,1,1736,0
15,1,1,882,0
15,1,2,784,0
15,1,1,688,0
15,1,3,708,0
15,1,2,724,0
15,1,4,0,0
15,1,3,553,0
15,1,4,0,0
15,1,3,560,0
15,1,1,629,0
15,1,4,0,0
15,1,1,625,0
15,1,2,1923,0
15,1,1,734,0
15,1,2,580,0
15,1,1,524,0
15,1,4,0,0
15,1,1,673,0
15,1,2,605,0
15,1,2,609,0
15,1,1,828,0
15,1,3,578,0
15,1,1,766,0
15,1,4,0,0
15,1,4,0,0
15,1,1,665,0
15,1,3,688,0
15,1,4,0,0
15,1,2,908,0
15,1,3,619,0
15,1,2,582,0
15,1,3,590,0
15,1,3,1440,0
15,1,3,474,0
15,1,4,0,0
15,1,3,599,0
15,1,3,610,0
15,1,4,0,0
15,1,2,595,0
15,1,2,532,0
15,1,4,0,0
15,1,1,746,0
15,1,4,0,0
15,1,2,1141,0
15,1,4,0,0
15,1,2,527,0
15,1,4,0,0
15,1,1,630,0
15,1,4,0,0
15,1,2,664,0
15,1,3,640,0
15,1,1,616,0
15,1,4,0,0
15,1,4,0,0
15,1,3,685,0
15,1,2,977,0
15,1,1,611,0
15,1,2,590,0
15,1,3,480,0
15,1,3,544,0
15,1,2,837,0
15,1,4,0,0
15,1,2,819,0
15,1,2,1364,0
15,1,3,473,0
15,1,2,553,1
15,1,4,0,0
15,1,3,620,0
15,1,1,603,0
15,1,2,754,0
15,1,4,0,0
15,2,2,1597,1
15,2,1,934,0
15,2,2,852,0
15,2,1,601,0
15,2,2,2317,1
15,2,3,735,0
15,2,3,669,0
15,2,4,0,0
15,2,3,1185,0
15,2,2,877,0
15,2,4,0,0
15,2,1,865,0
15,2,4,0,0
15,2,1,1038,0
15,2,4,0,0
15,2,3,844,0
15,2,1,954,0
15,2,3,3317,0
15,2,3,762,0
15,2,2,732,0
15,2,2,2054,0
15,2,4,0,0
15,2,2,728,0
15,2,3,764,0
15,2,2,720,0
15,2,2,951,0
