sb, pt, cfg, rt, er
7,1,4,0,0
7,1,4,0,0
7,1,4,0,0
7,1,2,899,0
7,1,4,0,0
7,1,1,7606,0
7,1,1,790,0
7,1,1,660,0
7,1,2,2907,1
7,1,2,757,0
7,1,2,797,0
7,1,2,718,0
7,1,1,754,0
7,1,3,702,0
7,1,4,0,0
7,1,1,891,0
7,1,3,635,0
7,1,3,544,0
7,1,3,719,0
7,1,3,551,0
7,1,3,532,0
7,1,3,462,1
7,1,3,752,0
7,1,3,780,0
7,1,4,0,0
7,1,1,1065,0
7,1,4,0,0
7,1,4,0,0
7,1,3,937,0
7,1,2,546,0
7,1,3,772,0
7,1,4,0,0
7,1,2,875,0
7,1,1,523,0
7,1,3,526,1
7,1,1,740,0
7,1,2,762,0
7,1,3,966,0
7,1,1,661,0
7,1,1,553,0
7,1,1,666,0
7,1,2,848,0
7,1,3,627,0
7,1,1,837,0
7,1,2,697,0
7,1,1,634,0
7,1,4,0,0
7,1,1,967,0
7,1,2,838,0
7,1,1,551,0
7,1,4,0,0
7,1,4,0,0
7,1,4,0,0
7,1,3,740,0
7,1,1,520,0
7,1,1,643,0
7,1,2,917,0
7,1,1,526,0
7,1,3,1664,0
7,1,2,630,0
7,1,4,0,0
7,1,4,0,0
7,1,4,0,0
7,1,2,929,0
7,1,3,579,0
7,1,2,562,0
7,1,2,814,0
7,1,3,621,0
7,1,1,757,0
7,1,3,862,0
7,1,2,710,0
7,1,1,1545,0
7,1,1,917,0
7,1,3,637,0
7,1,3,744,0
7,1,2,606,0
7,1,4,0,0
7,1,1,767,0
7,1,2,785,0
7,1,4,0,0
7,1,4,0,0
7,1,4,0,0
7,1,3,1108,0
7,1,2,602,0
7,1,1,445,0
7,1,3,771,0
7,1,1,540,0
7,1,2,508,0
7,1,4,0,0
7,1,3,567,0
7,1,4,0,0
7,1,2,882,0
7,1,1,892,0
7,1,4,0,0
7,1,3,1000,0
7,1,3,483,0
7,1,2,3793,0
7,1,1,676,0
7,1,2,590,0
7,1,3,819,0
7,1,2,583,0
7,1,1,430,0
7,1,3,552,0
7,1,1,555,1
7,1,3,773,0
7,1,3,535,0
7,1,3,932,0
7,1,2,626,0
7,1,3,476,0
7,1,1,583,0
7,1,3,713,0
7,1,4,0,0
7,1,1,714,0
7,1,2,732,0
7,1,2,599,0
7,1,4,0,0
7,1,4,0,0
7,1,4,0,0
7,1,1,950,0
7,1,3,570,0
7,1,4,0,0
7,1,1,833,0
7,1,3,687,0
7,1,4,0,0
7,1,4,0,0
7,1,4,0,0
7,1,1,674,0
7,1,2,806,0
7,1,1,5329,1
7,1,3,849,0
7,1,3,700,0
7,1,3,1396,0
7,1,3,576,0
7,1,4,0,0
7,1,4,0,0
7,1,4,0,0
7,1,4,0,0
7,1,3,1039,0
7,1,3,496,0
7,1,3,622,1
7,1,4,0,0
7,1,1,534,0
7,1,4,0,0
7,1,4,0,0
7,1,1,659,0
7,1,1,571,0
7,1,4,0,0
7,1,1,532,0
7,1,4,0,0
7,1,3,659,0
7,1,3,479,0
7,1,3,552,0
7,1,4,0,0
7,1,2,702,0
7,1,2,701,0
7,1,3,689,0
7,1,2,640,0
7,1,2,506,0
7,1,2,471,0
7,1,3,635,0
7,1,1,704,0
7,1,4,0,0
7,1,1,795,0
7,1,4,0,0
7,1,4,0,0
7,1,4,0,0
7,1,3,731,0
7,1,3,470,0
7,1,2,640,0
7,1,2,787,0
7,1,3,551,0
7,1,1,806,0
7,1,4,0,0
7,1,1,900,0
7,1,3,565,0
7,1,2,823,0
7,1,4,0,0
7,1,4,0,0
7,1,2,664,0
7,1,3,479,0
7,1,1,791,0
7,1,2,681,0
7,1,1,836,0
7,1,4,0,0
7,1,2,500,0
7,1,2,469,0
7,1,2,540,0
7,1,1,396,0
7,1,4,0,0
7,1,1,579,0
7,1,1,708,0
7,1,1,642,0
7,1,2,836,0
7,1,4,0,0
7,1,4,0,0
7,1,3,597,0
7,1,3,546,0
7,1,2,894,0
7,1,3,495,1
7,1,1,752,0
7,1,1,839,0
7,1,4,0,0
7,1,3,895,0
7,1,1,702,0
7,1,4,0,0
7,1,2,906,0
7,1,2,484,1
7,1,1,744,0
7,1,4,0,0
7,1,4,0,0
7,1,2,695,0
7,1,2,605,0
7,1,1,804,0
7,1,3,542,1
7,1,2,1076,0
7,1,3,892,0
7,1,4,0,0
7,1,4,0,0
7,1,3,689,0
7,1,3,823,0
7,1,4,0,0
7,1,3,611,0
7,1,4,0,0
7,1,1,566,1
7,1,1,652,0
7,1,3,874,0
7,1,1,543,0
7,1,1,545,0
7,1,4,0,0
7,1,2,748,0
7,1,3,656,0
7,1,4,0,0
7,1,3,677,0
7,1,3,610,0
7,1,1,728,0
7,1,2,694,0
7,1,2,659,0
7,1,2,735,0
7,1,1,700,1
7,1,2,709,0
7,1,1,1114,0
7,1,1,644,0
7,1,2,565,0
7,1,1,543,0
7,1,4,0,0
7,1,2,556,0
7,1,2,592,0
7,1,1,611,0
7,1,2,502,0
7,1,1,710,0
7,1,2,605,0
7,1,1,871,0
7,1,4,0,0
7,1,4,0,0
7,1,3,714,0
7,1,1,706,0
7,1,2,711,0
7,1,4,0,0
7,1,4,0,0
7,1,1,919,0
7,1,2,592,0
7,1,2,630,0
7,1,4,0,0
7,1,3,695,0
7,1,3,589,0
7,1,3,644,0
7,1,4,0,0
7,1,1,696,0
7,1,1,557,0
7,1,4,0,0
7,1,1,635,0
7,1,1,504,0
7,1,1,546,1
7,1,2,654,0
7,1,4,0,0
7,1,3,667,0
7,1,2,705,0
7,1,4,0,0
7,1,2,572,0
7,1,3,743,0
7,1,2,717,0
7,1,1,593,0
7,1,4,0,0
7,1,3,766,0
7,1,3,519,0
7,1,2,899,1
7,1,1,865,0
7,1,1,565,0
7,1,4,0,0
7,1,4,0,0
7,1,3,677,0
7,1,2,623,0
7,1,3,526,0
7,1,1,672,0
7,1,1,567,0
7,1,2,746,0
7,1,4,0,0
7,1,2,750,0
7,1,2,469,1
7,1,4,0,0
7,1,4,0,0
7,1,2,843,0
7,1,3,551,0
7,1,3,986,0
7,1,2,636,0
7,1,2,988,0
7,1,1,665,0
7,1,2,603,0
7,1,2,582,0
7,1,4,0,0
7,1,3,758,0
7,1,3,721,0
7,1,2,625,0
7,1,1,640,0
7,1,3,704,0
7,1,4,0,0
7,1,4,0,0
7,1,1,663,0
7,1,2,653,0
7,1,3,562,1
7,1,4,0,0
7,1,1,805,0
7,1,1,608,0
7,1,3,651,0
7,1,4,0,0
7,1,2,897,0
7,1,4,0,0
7,1,3,544,0
7,1,1,474,0
7,1,1,575,0
7,1,3,851,0
7,1,2,642,0
7,1,3,558,0
7,1,4,0,0
7,1,3,599,0
7,1,2,651,0
7,1,2,542,0
7,1,2,723,0
7,1,1,699,0
7,1,1,593,0
7,1,4,0,0
7,1,1,814,0
7,1,1,588,0
7,1,2,577,0
7,1,4,0,0
7,1,4,0,0
7,1,4,0,0
7,1,1,616,0
7,1,3,676,0
7,1,1,615,0
7,1,2,621,0
7,1,4,0,0
7,1,3,866,0
7,1,3,552,0
7,1,3,1167,0
7,1,4,0,0
7,1,3,717,0
7,1,4,0,0
7,1,4,0,0
7,1,4,0,0
7,1,4,0,0
7,1,4,0,0
7,1,1,574,0
7,1,4,0,0
7,1,3,763,0
7,1,4,0,0
7,1,1,674,0
7,1,2,1690,0
7,1,2,596,0
7,1,1,534,0
7,1,1,531,0
7,1,4,0,0
7,1,3,772,0
7,1,3,532,0
7,1,4,0,0
7,1,2,685,0
7,1,3,495,0
7,1,4,0,0
7,1,3,570,0
7,1,2,674,0
7,1,1,555,0
7,1,3,509,0
7,1,2,704,0
7,1,3,437,0
7,1,1,581,0
7,1,2,726,0
7,1,3,448,1
7,1,3,766,0
7,1,2,828,0
7,1,4,0,0
7,1,4,0,0
7,1,1,597,0
7,1,2,618,0
7,1,3,822,0
7,1,3,627,0
7,1,3,901,0
7,1,3,611,0
7,1,1,500,0
7,1,3,576,0
7,1,2,685,0
7,1,3,1037,0
7,1,2,570,0
7,1,1,524,1
7,1,3,1404,0
7,1,3,622,0
7,1,4,0,0
7,1,2,643,0
7,1,2,695,0
7,1,4,0,0
7,1,3,702,0
7,1,3,522,0
7,1,1,445,0
7,1,2,576,0
7,1,3,478,0
7,1,3,631,0
7,1,1,681,0
7,1,2,772,0
7,1,2,950,0
7,1,3,652,0
7,1,1,559,0
7,1,4,0,0
7,1,3,682,0
7,1,4,0,0
7,1,4,0,0
7,1,3,568,0
7,1,2,471,1
7,1,3,999,0
7,1,4,0,0
7,1,3,1137,0
7,1,2,617,0
7,1,2,594,0
7,1,1,780,0
7,1,4,0,0
7,1,1,845,0
7,1,1,511,0
7,1,2,676,0
7,1,1,574,0
7,1,4,0,0
7,1,2,627,0
7,1,1,576,0
7,1,3,688,0
7,1,2,577,0
7,1,1,815,0
7,1,2,599,0
7,1,1,498,0
7,1,2,639,0
7,1,3,529,0
7,1,1,554,0
7,1,4,0,0
7,1,4,0,0
7,1,1,754,0
7,1,3,477,0
7,1,3,610,0
7,1,2,738,0
7,1,2,745,0
7,1,1,631,0
7,1,4,0,0
7,1,1,846,0
7,1,1,518,0
7,1,2,1161,0
7,1,1,717,0
7,1,1,765,0
7,1,2,510,0
7,1,4,0,0
7,1,2,880,0
7,1,1,683,0
7,1,2,931,0
7,1,1,785,0
7,1,2,640,0
7,1,4,0,0
7,1,2,1052,0
7,1,2,471,0
7,1,4,0,0
7,1,1,695,0
7,1,2,788,0
7,1,2,578,0
7,1,4,0,0
7,1,1,751,0
7,1,4,0,0
7,1,4,0,0
7,1,1,860,0
7,1,1,714,0
7,1,1,530,0
7,1,1,649,0
7,1,3,611,0
7,1,1,586,0
7,1,4,0,0
7,1,2,811,0
7,1,3,537,0
7,1,4,0,0
7,1,1,743,0
7,1,1,670,0
7,1,1,541,0
7,1,3,905,0
7,1,2,627,0
7,1,2,586,0
7,1,2,664,0
7,1,1,599,0
7,1,3,497,0
7,1,2,630,0
7,1,1,577,0
7,1,1,585,0
7,1,2,702,0
7,1,4,0,0
7,1,2,774,0
7,1,1,539,0
7,1,2,487,1
7,1,3,683,0
7,1,2,618,0
7,1,4,0,0
7,1,1,688,0
7,1,3,531,1
7,1,4,0,0
7,1,1,931,0
7,1,3,933,0
7,1,2,1181,0
7,1,2,614,0
7,1,4,0,0
7,1,4,0,0
7,1,4,0,0
7,1,3,936,0
7,1,3,677,0
7,1,2,793,0
7,1,4,0,0
7,1,3,1002,0
7,1,1,622,0
7,1,1,924,0
7,1,4,0,0
7,1,4,0,0
7,1,3,671,0
7,1,2,682,0
7,1,2,490,0
7,1,2,417,0
7,1,3,669,0
7,1,2,496,0
7,1,1,488,0
7,1,3,475,0
7,1,1,741,0
7,1,4,0,0
7,1,4,0,0
7,1,4,0,0
7,1,1,720,0
7,1,2,457,1
7,1,4,0,0
7,1,4,0,0
7,1,2,711,0
7,1,1,627,0
7,1,3,650,0
7,1,3,592,0
7,1,4,0,0
7,1,4,0,0
7,1,4,0,0
7,1,4,0,0
7,1,1,729,0
7,1,2,634,0
7,1,3,566,0
7,1,4,0,0
7,1,1,677,0
7,1,4,0,0
7,1,4,0,0
7,1,2,994,0
7,1,2,450,0
7,1,1,720,0
7,1,3,517,0
7,1,2,509,0
7,1,3,488,0
7,1,2,521,0
7,1,3,529,0
7,1,3,512,0
7,1,1,530,0
7,1,3,497,0
7,1,3,425,0
7,1,4,0,0
7,1,2,638,0
7,1,3,507,0
7,1,2,527,0
7,2,3,802,0
7,2,4,0,0
7,2,4,0,0
7,2,1,708,0
7,2,4,0,0
7,2,2,621,0
7,2,2,593,0
7,2,4,0,0
7,2,1,940,0
7,2,3,732,0
7,2,1,915,0
7,2,1,607,0
7,2,2,600,0
7,2,4,0,0
7,2,1,928,0
7,2,1,719,0
7,2,3,711,0
7,2,1,637,0
7,2,1,574,0
7,2,4,0,0
7,2,2,699,0
7,2,3,559,0
7,2,4,0,0
7,2,2,604,0
7,2,1,572,0
7,2,2,667,0
7,2,4,0,0
7,2,3,573,0
7,2,4,0,0
